Município;IMEI1;IMEI2;Marca;Modelo;Capacidade;Entrega;Local de Uso;Situação; Patrimonio
Adrianópolis;239756000000000;830475000000000;Multilaser;G Max 2;64GB;Adrianópolis;Escola do município Adrianópolis;Em uso;47
Adrianópolis;613839000000000;964101000000000;Apple;iPhone 13;128GB;Adrianópolis;Escola do município Adrianópolis;Danificado;48
Adrianópolis;282242000000000;440011000000000;Motorola;Edge 40;256GB;Adrianópolis;Escola do município Adrianópolis;Danificado;49
Adrianópolis;138818000000000;665348000000000;Apple;iPhone 15 Pro;256GB;Adrianópolis;Escola do município Adrianópolis;Inservível;50
Adrianópolis;924964000000000;611113000000000;Philco;Hit P10;128GB;Adrianópolis;Escola do município Adrianópolis;Danificado;51
Adrianópolis;134683000000000;951982000000000;Motorola;Moto G53;128GB;Adrianópolis;Escola do município Adrianópolis;Em uso;52
Adrianópolis;634881000000000;274055000000000;Apple;iPhone 15 Pro;256GB;Adrianópolis;Escola do município Adrianópolis;Danificado;53
Adrianópolis;207837000000000;443756000000000;Philco;Hit P10;128GB;Adrianópolis;Escola do município Adrianópolis;Danificado;54
Adrianópolis;354834000000000;715743000000000;Motorola;Moto G53;128GB;Adrianópolis;Escola do município Adrianópolis;Em uso;55
Adrianópolis;986154000000000;649938000000000;Motorola;Moto G53;128GB;Adrianópolis;Escola do município Adrianópolis;Roubado;56
Adrianópolis;887224000000000;140941000000000;Apple;iPhone 15 Pro;256GB;Adrianópolis;Escola do município Adrianópolis;Em uso;57
Adrianópolis;523691000000000;484029000000000;Samsung;Galaxy S23;256GB;Adrianópolis;Escola do município Adrianópolis;Em uso;58
Adrianópolis;121644000000000;857552000000000;Philco;Hit P10;128GB;Adrianópolis;Escola do município Adrianópolis;Em uso;59
Adrianópolis;549380000000000;422671000000000;Philco;Hit P10;128GB;Adrianópolis;Escola do município Adrianópolis;Danificado;60
Agudos do Sul;106029000000000;442697000000000;Xiaomi;Poco X5;256GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;61
Agudos do Sul;147047000000000;361707000000000;Philco;Hit P10;128GB;Agudos do Sul;Escola do município Agudos do Sul;Danificado;62
Agudos do Sul;884503000000000;452854000000000;Motorola;Edge 40;256GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;63
Agudos do Sul;185288000000000;207054000000000;Multilaser;G Max 2;64GB;Agudos do Sul;Escola do município Agudos do Sul;Inservível;64
Agudos do Sul;514041000000000;299648000000000;Philco;Hit P10;128GB;Agudos do Sul;Escola do município Agudos do Sul;Inservível;65
Agudos do Sul;419873000000000;443168000000000;Samsung;Galaxy S23;256GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;66
Agudos do Sul;122332000000000;835071000000000;Apple;iPhone 15 Pro;256GB;Agudos do Sul;Escola do município Agudos do Sul;Inservível;67
Agudos do Sul;934395000000000;178449000000000;Xiaomi;Redmi Note 12;128GB;Agudos do Sul;Escola do município Agudos do Sul;Inservível;68
Agudos do Sul;963458000000000;937969000000000;Motorola;Edge 40;256GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;69
Agudos do Sul;405725000000000;629697000000000;Samsung;Galaxy S23;256GB;Agudos do Sul;Escola do município Agudos do Sul;Inservível;70
Agudos do Sul;676763000000000;531353000000000;Apple;iPhone 15 Pro;256GB;Agudos do Sul;Escola do município Agudos do Sul;Danificado;71
Agudos do Sul;246980000000000;445958000000000;Apple;iPhone 13;128GB;Agudos do Sul;Escola do município Agudos do Sul;Em uso;72
Agudos do Sul;312745000000000;671592000000000;Philco;Hit P10;128GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;73
Agudos do Sul;612640000000000;761183000000000;Apple;iPhone 13;128GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;74
Agudos do Sul;344801000000000;147698000000000;Philco;Hit P10;128GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;75
Agudos do Sul;306265000000000;728983000000000;Apple;iPhone 13;128GB;Agudos do Sul;Escola do município Agudos do Sul;Inservível;76
Agudos do Sul;760954000000000;213583000000000;Apple;iPhone 13;128GB;Agudos do Sul;Escola do município Agudos do Sul;Danificado;77
Agudos do Sul;525439000000000;915875000000000;Motorola;Edge 40;256GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;78
Agudos do Sul;665796000000000;479307000000000;Motorola;Moto G53;128GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;79
Agudos do Sul;434816000000000;925874000000000;Motorola;Edge 40;256GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;80
Agudos do Sul;115880000000000;558754000000000;Motorola;Edge 40;256GB;Agudos do Sul;Escola do município Agudos do Sul;Em uso;81
Agudos do Sul;974236000000000;748272000000000;Apple;iPhone 13;128GB;Agudos do Sul;Escola do município Agudos do Sul;Danificado;82
Agudos do Sul;955432000000000;435019000000000;Samsung;Galaxy S23;256GB;Agudos do Sul;Escola do município Agudos do Sul;Em uso;83
Agudos do Sul;695881000000000;671562000000000;Xiaomi;Poco X5;256GB;Agudos do Sul;Escola do município Agudos do Sul;Em uso;84
Agudos do Sul;489858000000000;259516000000000;Apple;iPhone 15 Pro;256GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;85
Agudos do Sul;546041000000000;775513000000000;Samsung;Galaxy A14;128GB;Agudos do Sul;Escola do município Agudos do Sul;Inservível;86
Agudos do Sul;226928000000000;600054000000000;Samsung;Galaxy S23;256GB;Agudos do Sul;Escola do município Agudos do Sul;Roubado;87
Agudos do Sul;234137000000000;883781000000000;Motorola;Moto G53;128GB;Agudos do Sul;Escola do município Agudos do Sul;Danificado;88
Agudos do Sul;363940000000000;530380000000000;Xiaomi;Poco X5;256GB;Agudos do Sul;Escola do município Agudos do Sul;Inservível;89
Agudos do Sul;776677000000000;394563000000000;Apple;iPhone 15 Pro;256GB;Agudos do Sul;Escola do município Agudos do Sul;Em uso;90
Almirante Tamandaré;176846000000000;226842000000000;Samsung;Galaxy S23;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Inservível;91
Almirante Tamandaré;114314000000000;630485000000000;Multilaser;G Max 2;64GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Danificado;92
Almirante Tamandaré;991483000000000;538313000000000;Samsung;Galaxy S23;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;93
Almirante Tamandaré;496200000000000;608294000000000;Philco;Hit P10;128GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;94
Almirante Tamandaré;308756000000000;725260000000000;Motorola;Edge 40;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Roubado;95
Almirante Tamandaré;125741000000000;283848000000000;Apple;iPhone 15 Pro;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;96
Almirante Tamandaré;866916000000000;411149000000000;Apple;iPhone 15 Pro;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;97
Almirante Tamandaré;878262000000000;393715000000000;Multilaser;G Max 2;64GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;98
Almirante Tamandaré;482528000000000;339691000000000;Xiaomi;Redmi Note 12;128GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Roubado;99
Almirante Tamandaré;877062000000000;793061000000000;Apple;iPhone 15 Pro;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;100
Almirante Tamandaré;579989000000000;780550000000000;Xiaomi;Redmi Note 12;128GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;101
Almirante Tamandaré;843270000000000;568120000000000;Xiaomi;Poco X5;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Roubado;102
Almirante Tamandaré;844056000000000;612066000000000;Motorola;Edge 40;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Inservível;103
Almirante Tamandaré;709563000000000;504853000000000;Samsung;Galaxy S23;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Inservível;104
Almirante Tamandaré;755526000000000;780697000000000;Samsung;Galaxy S23;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Roubado;105
Almirante Tamandaré;660381000000000;985236000000000;Samsung;Galaxy S23;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Danificado;106
Almirante Tamandaré;902479000000000;295058000000000;Motorola;Edge 40;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;107
Almirante Tamandaré;147193000000000;476667000000000;Multilaser;G Max 2;64GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Roubado;108
Almirante Tamandaré;251700000000000;296678000000000;Samsung;Galaxy S23;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Inservível;109
Almirante Tamandaré;956137000000000;881562000000000;Xiaomi;Poco X5;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Inservível;110
Almirante Tamandaré;737752000000000;325262000000000;Samsung;Galaxy A14;128GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Inservível;111
Almirante Tamandaré;862413000000000;484810000000000;Multilaser;G Max 2;64GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;112
Almirante Tamandaré;229216000000000;720010000000000;Apple;iPhone 13;128GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;113
Almirante Tamandaré;710783000000000;739608000000000;Samsung;Galaxy S23;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;114
Almirante Tamandaré;766732000000000;623976000000000;Apple;iPhone 15 Pro;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Em uso;115
Almirante Tamandaré;454035000000000;661059000000000;Samsung;Galaxy S23;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Roubado;116
Almirante Tamandaré;818202000000000;559869000000000;Xiaomi;Poco X5;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Inservível;117
Almirante Tamandaré;630997000000000;421395000000000;Samsung;Galaxy A14;128GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Inservível;118
Almirante Tamandaré;339462000000000;854283000000000;Apple;iPhone 15 Pro;256GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Danificado;119
Almirante Tamandaré;666994000000000;642209000000000;Apple;iPhone 13;128GB;Almirante Tamandaré;Escola do município Almirante Tamandaré;Danificado;120
Altamira do Paraná;145029000000000;981974000000000;Samsung;Galaxy A14;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Danificado;121
Altamira do Paraná;406173000000000;647348000000000;Samsung;Galaxy S23;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;122
Altamira do Paraná;891586000000000;563207000000000;Philco;Hit P10;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Em uso;123
Altamira do Paraná;663968000000000;438134000000000;Xiaomi;Poco X5;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Danificado;124
Altamira do Paraná;459197000000000;170270000000000;Samsung;Galaxy A14;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Danificado;125
Altamira do Paraná;430040000000000;698295000000000;Motorola;Edge 40;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;126
Altamira do Paraná;449336000000000;510429000000000;Samsung;Galaxy S23;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Inservível;127
Altamira do Paraná;332820000000000;513717000000000;Motorola;Moto G53;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;128
Altamira do Paraná;530640000000000;592988000000000;Samsung;Galaxy A14;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Danificado;129
Altamira do Paraná;651936000000000;681810000000000;Philco;Hit P10;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;130
Altamira do Paraná;614805000000000;940517000000000;Samsung;Galaxy S23;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Em uso;131
Altamira do Paraná;667174000000000;861729000000000;Motorola;Edge 40;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Inservível;132
Altamira do Paraná;750697000000000;311988000000000;Samsung;Galaxy A14;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Danificado;133
Altamira do Paraná;958393000000000;748225000000000;Multilaser;G Max 2;64GB;Altamira do Paraná;Escola do município Altamira do Paraná;Em uso;134
Altamira do Paraná;974063000000000;854174000000000;Philco;Hit P10;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Danificado;135
Altamira do Paraná;782534000000000;587925000000000;Samsung;Galaxy S23;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Em uso;136
Altamira do Paraná;727198000000000;598643000000000;Xiaomi;Redmi Note 12;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;137
Altamira do Paraná;891585000000000;375683000000000;Multilaser;G Max 2;64GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;138
Altamira do Paraná;270433000000000;324630000000000;Multilaser;G Max 2;64GB;Altamira do Paraná;Escola do município Altamira do Paraná;Danificado;139
Altamira do Paraná;872735000000000;606627000000000;Xiaomi;Poco X5;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Inservível;140
Altamira do Paraná;691807000000000;994455000000000;Motorola;Moto G53;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;141
Altamira do Paraná;738169000000000;283393000000000;Samsung;Galaxy A14;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;142
Altamira do Paraná;760731000000000;741502000000000;Philco;Hit P10;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;143
Altamira do Paraná;860898000000000;400799000000000;Apple;iPhone 15 Pro;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Inservível;144
Altamira do Paraná;953881000000000;115842000000000;Xiaomi;Redmi Note 12;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;145
Altamira do Paraná;271006000000000;698405000000000;Multilaser;G Max 2;64GB;Altamira do Paraná;Escola do município Altamira do Paraná;Danificado;146
Altamira do Paraná;941921000000000;667183000000000;Xiaomi;Redmi Note 12;128GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;147
Altamira do Paraná;209908000000000;160580000000000;Apple;iPhone 15 Pro;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Em uso;148
Altamira do Paraná;619486000000000;633657000000000;Multilaser;G Max 2;64GB;Altamira do Paraná;Escola do município Altamira do Paraná;Roubado;149
Altamira do Paraná;910261000000000;568828000000000;Apple;iPhone 15 Pro;256GB;Altamira do Paraná;Escola do município Altamira do Paraná;Inservível;150
Alto Paraíso;147531000000000;927151000000000;Multilaser;G Max 2;64GB;Alto Paraíso;Escola do município Alto Paraíso;Inservível;151
Alto Paraíso;428931000000000;532394000000000;Xiaomi;Poco X5;256GB;Alto Paraíso;Escola do município Alto Paraíso;Em uso;152
Alto Paraíso;458930000000000;903200000000000;Samsung;Galaxy A14;128GB;Alto Paraíso;Escola do município Alto Paraíso;Inservível;153
Alto Paraíso;312881000000000;821764000000000;Apple;iPhone 15 Pro;256GB;Alto Paraíso;Escola do município Alto Paraíso;Inservível;154
Alto Paraíso;257216000000000;874113000000000;Xiaomi;Redmi Note 12;128GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;155
Alto Paraíso;199381000000000;316524000000000;Motorola;Edge 40;256GB;Alto Paraíso;Escola do município Alto Paraíso;Roubado;156
Alto Paraíso;358239000000000;469519000000000;Multilaser;G Max 2;64GB;Alto Paraíso;Escola do município Alto Paraíso;Em uso;157
Alto Paraíso;981513000000000;513169000000000;Philco;Hit P10;128GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;158
Alto Paraíso;281331000000000;812640000000000;Xiaomi;Redmi Note 12;128GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;159
Alto Paraíso;303508000000000;966264000000000;Motorola;Edge 40;256GB;Alto Paraíso;Escola do município Alto Paraíso;Em uso;160
Alto Paraíso;106104000000000;448890000000000;Apple;iPhone 15 Pro;256GB;Alto Paraíso;Escola do município Alto Paraíso;Roubado;161
Alto Paraíso;522150000000000;929214000000000;Samsung;Galaxy S23;256GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;162
Alto Paraíso;659750000000000;167375000000000;Samsung;Galaxy S23;256GB;Alto Paraíso;Escola do município Alto Paraíso;Inservível;163
Alto Paraíso;225281000000000;969890000000000;Apple;iPhone 13;128GB;Alto Paraíso;Escola do município Alto Paraíso;Roubado;164
Alto Paraíso;291455000000000;799877000000000;Xiaomi;Redmi Note 12;128GB;Alto Paraíso;Escola do município Alto Paraíso;Inservível;165
Alto Paraíso;268282000000000;405603000000000;Samsung;Galaxy A14;128GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;166
Alto Paraíso;128924000000000;591781000000000;Motorola;Moto G53;128GB;Alto Paraíso;Escola do município Alto Paraíso;Roubado;167
Alto Paraíso;132920000000000;364468000000000;Samsung;Galaxy S23;256GB;Alto Paraíso;Escola do município Alto Paraíso;Inservível;168
Alto Paraíso;307789000000000;948159000000000;Samsung;Galaxy S23;256GB;Alto Paraíso;Escola do município Alto Paraíso;Roubado;169
Alto Paraíso;560065000000000;307476000000000;Samsung;Galaxy A14;128GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;170
Alto Paraíso;533518000000000;212657000000000;Motorola;Edge 40;256GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;171
Alto Paraíso;757226000000000;967218000000000;Philco;Hit P10;128GB;Alto Paraíso;Escola do município Alto Paraíso;Roubado;172
Alto Paraíso;284389000000000;588027000000000;Apple;iPhone 15 Pro;256GB;Alto Paraíso;Escola do município Alto Paraíso;Em uso;173
Alto Paraíso;677643000000000;894949000000000;Apple;iPhone 13;128GB;Alto Paraíso;Escola do município Alto Paraíso;Inservível;174
Alto Paraíso;925294000000000;165582000000000;Apple;iPhone 13;128GB;Alto Paraíso;Escola do município Alto Paraíso;Em uso;175
Alto Paraíso;174230000000000;682321000000000;Samsung;Galaxy A14;128GB;Alto Paraíso;Escola do município Alto Paraíso;Em uso;176
Alto Paraíso;529682000000000;786207000000000;Motorola;Moto G53;128GB;Alto Paraíso;Escola do município Alto Paraíso;Em uso;177
Alto Paraíso;261612000000000;534454000000000;Motorola;Moto G53;128GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;178
Alto Paraíso;354707000000000;430464000000000;Apple;iPhone 13;128GB;Alto Paraíso;Escola do município Alto Paraíso;Em uso;179
Alto Paraíso;699140000000000;552533000000000;Motorola;Edge 40;256GB;Alto Paraíso;Escola do município Alto Paraíso;Danificado;180
Alto Paraná;558120000000000;639243000000000;Samsung;Galaxy S23;256GB;Alto Paraná;Escola do município Alto Paraná;Roubado;181
Alto Paraná;969468000000000;959500000000000;Apple;iPhone 13;128GB;Alto Paraná;Escola do município Alto Paraná;Em uso;182
Alto Paraná;598909000000000;940944000000000;Multilaser;G Max 2;64GB;Alto Paraná;Escola do município Alto Paraná;Em uso;183
Alto Paraná;704260000000000;247575000000000;Motorola;Moto G53;128GB;Alto Paraná;Escola do município Alto Paraná;Danificado;184
Alto Paraná;339521000000000;674928000000000;Samsung;Galaxy S23;256GB;Alto Paraná;Escola do município Alto Paraná;Inservível;185
Alto Paraná;349739000000000;408824000000000;Samsung;Galaxy A14;128GB;Alto Paraná;Escola do município Alto Paraná;Roubado;186
Alto Paraná;890878000000000;119793000000000;Motorola;Edge 40;256GB;Alto Paraná;Escola do município Alto Paraná;Inservível;187
Alto Paraná;942656000000000;131650000000000;Apple;iPhone 13;128GB;Alto Paraná;Escola do município Alto Paraná;Inservível;188
Alto Paraná;126560000000000;974181000000000;Xiaomi;Poco X5;256GB;Alto Paraná;Escola do município Alto Paraná;Danificado;189
Alto Paraná;534963000000000;482573000000000;Xiaomi;Redmi Note 12;128GB;Alto Paraná;Escola do município Alto Paraná;Roubado;190
Alto Paraná;517927000000000;649320000000000;Motorola;Moto G53;128GB;Alto Paraná;Escola do município Alto Paraná;Em uso;191
Alto Paraná;834129000000000;949000000000000;Samsung;Galaxy A14;128GB;Alto Paraná;Escola do município Alto Paraná;Roubado;192
Alto Paraná;594360000000000;639643000000000;Xiaomi;Poco X5;256GB;Alto Paraná;Escola do município Alto Paraná;Inservível;193
Alto Paraná;292129000000000;177481000000000;Philco;Hit P10;128GB;Alto Paraná;Escola do município Alto Paraná;Roubado;194
Alto Paraná;339448000000000;460696000000000;Motorola;Edge 40;256GB;Alto Paraná;Escola do município Alto Paraná;Inservível;195
Alto Paraná;722608000000000;289683000000000;Xiaomi;Poco X5;256GB;Alto Paraná;Escola do município Alto Paraná;Roubado;196
Alto Paraná;472516000000000;905037000000000;Samsung;Galaxy S23;256GB;Alto Paraná;Escola do município Alto Paraná;Roubado;197
Alto Paraná;228991000000000;997215000000000;Apple;iPhone 13;128GB;Alto Paraná;Escola do município Alto Paraná;Em uso;198
Alto Paraná;395641000000000;403166000000000;Samsung;Galaxy S23;256GB;Alto Paraná;Escola do município Alto Paraná;Danificado;199
Alto Paraná;532332000000000;744869000000000;Apple;iPhone 13;128GB;Alto Paraná;Escola do município Alto Paraná;Danificado;200
Alto Paraná;154043000000000;633601000000000;Motorola;Edge 40;256GB;Alto Paraná;Escola do município Alto Paraná;Em uso;201
Alto Paraná;317464000000000;812591000000000;Xiaomi;Poco X5;256GB;Alto Paraná;Escola do município Alto Paraná;Danificado;202
Alto Paraná;125186000000000;470283000000000;Samsung;Galaxy A14;128GB;Alto Paraná;Escola do município Alto Paraná;Roubado;203
Alto Paraná;381673000000000;251021000000000;Xiaomi;Redmi Note 12;128GB;Alto Paraná;Escola do município Alto Paraná;Inservível;204
Alto Paraná;949009000000000;327408000000000;Apple;iPhone 15 Pro;256GB;Alto Paraná;Escola do município Alto Paraná;Roubado;205
Alto Paraná;463022000000000;116481000000000;Apple;iPhone 15 Pro;256GB;Alto Paraná;Escola do município Alto Paraná;Em uso;206
Alto Paraná;288340000000000;898185000000000;Apple;iPhone 13;128GB;Alto Paraná;Escola do município Alto Paraná;Inservível;207
Alto Paraná;197138000000000;901021000000000;Apple;iPhone 13;128GB;Alto Paraná;Escola do município Alto Paraná;Roubado;208
